ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_ID,Metadata_Plate,Metadata_Run,Metadata_Series,FileName__96h_brachyury_mask,FileName__96h_brachyury_original,FileName__96h_brightfield_mask,PathName__96h_brachyury_mask,PathName__96h_brachyury_original,PathName__96h_brightfield_mask,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge__96h_brachyury_original,Intensity_IntegratedIntensity__96h_brachyury_original,Intensity_LowerQuartileIntensity__96h_brachyury_original,Intensity_MADIntensity__96h_brachyury_original,Intensity_MassDisplacement__96h_brachyury_original,Intensity_MaxIntensityEdge__96h_brachyury_original,Intensity_MaxIntensity__96h_brachyury_original,Intensity_MeanIntensityEdge__96h_brachyury_original,Intensity_MeanIntensity__96h_brachyury_original,Intensity_MedianIntensity__96h_brachyury_original,Intensity_MinIntensityEdge__96h_brachyury_original,Intensity_MinIntensity__96h_brachyury_original,Intensity_StdIntensityEdge__96h_brachyury_original,Intensity_StdIntensity__96h_brachyury_original,Intensity_UpperQuartileIntensity__96h_brachyury_original,Location_CenterMassIntensity_X__96h_brachyury_original,Location_CenterMassIntensity_Y__96h_brachyury_original,Location_CenterMassIntensity_Z__96h_brachyury_original,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X__96h_brachyury_original,Location_MaxIntensity_Y__96h_brachyury_original,Location_MaxIntensity_Z__96h_brachyury_original,Number_Object_Number,RadialDistribution_FracAtD__96h_brachyury_original_1of9,RadialDistribution_FracAtD__96h_brachyury_original_2of9,RadialDistribution_FracAtD__96h_brachyury_original_3of9,RadialDistribution_FracAtD__96h_brachyury_original_4of9,RadialDistribution_FracAtD__96h_brachyury_original_5of9,RadialDistribution_FracAtD__96h_brachyury_original_6of9,RadialDistribution_FracAtD__96h_brachyury_original_7of9,RadialDistribution_FracAtD__96h_brachyury_original_8of9,RadialDistribution_FracAtD__96h_brachyury_original_9of9,RadialDistribution_MeanFrac__96h_brachyury_original_1of9,RadialDistribution_MeanFrac__96h_brachyury_original_2of9,RadialDistribution_MeanFrac__96h_brachyury_original_3of9,RadialDistribution_MeanFrac__96h_brachyury_original_4of9,RadialDistribution_MeanFrac__96h_brachyury_original_5of9,RadialDistribution_MeanFrac__96h_brachyury_original_6of9,RadialDistribution_MeanFrac__96h_brachyury_original_7of9,RadialDistribution_MeanFrac__96h_brachyury_original_8of9,RadialDistribution_MeanFrac__96h_brachyury_original_9of9,RadialDistribution_RadialCV__96h_brachyury_original_1of9,RadialDistribution_RadialCV__96h_brachyury_original_2of9,RadialDistribution_RadialCV__96h_brachyury_original_3of9,RadialDistribution_RadialCV__96h_brachyury_original_4of9,RadialDistribution_RadialCV__96h_brachyury_original_5of9,RadialDistribution_RadialCV__96h_brachyury_original_6of9,RadialDistribution_RadialCV__96h_brachyury_original_7of9,RadialDistribution_RadialCV__96h_brachyury_original_8of9,RadialDistribution_RadialCV__96h_brachyury_original_9of9
1,1,nan,0,A10,1,RR,0,FK223_run_RR_PLATE_1_ID_A10_C_BRA_mask.tif,FK223_run_RR_PLATE_1_ID_A10_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A10_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brachyury\96h,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\96h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\96h,12611,16864,456,398,332,262,393.3423201966537,325.7529141225914,1.1719672223186435,12876,0.4702452662711615,126.715523510954,1,0.7478059772296015,0.853266184374662,135.33977952080707,138.00362314084367,57.271284253105414,20.467599884544338,18.110770276274835,120.07497657713701,119.44219685460668,7.137516111455235,430.9604614807105,0.9794190742466604,6738.227945327759,415543.14576625824,26.31929349899292,6.276466369628906,0.9707378558973282,25.249662399291992,54.90419387817383,18.31040202534717,32.95084812990709,34.02937698364258,15.419307708740234,15.364757537841797,2.0663854581210708,8.22459041410056,39.49779796600342,393.69898384008445,324.8500724807035,0.0,393.3423201966537,325.7529141225914,0,396.0,331.0,0.0,1,0.013640125,0.04403074,0.07304868,0.10089402,0.12944639,0.15440996,0.16998594,0.16922198,0.14532219,1.4216166936584287,1.4057510707574454,1.3293173396140068,1.2486501213992978,1.204758959502749,1.1400843117412258,1.0316133914556596,0.8618975846286439,0.6625662046772188,0.02237752327385858,0.054118627807095684,0.04349964525058535,0.03420718641553497,0.03401093671582326,0.04580580981100656,0.0502208495226555,0.06813801728330311,0.08719915843870296
2,1,nan,0,A11,1,RR,0,FK223_run_RR_PLATE_1_ID_A11_C_BRA_mask.tif,FK223_run_RR_PLATE_1_ID_A11_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A11_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brachyury\96h,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\96h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\96h,12941,17018,432,354,298,227,365.96437678695617,288.44872884630246,1.163918415056611,13181,0.4843197423912316,128.3627397199738,1,0.7604301328005642,0.8591667483423756,137.82110633880734,138.75518008348374,56.71860364994893,20.623996808051373,18.35755975068582,120.84615384615384,120.57845541107591,-71.49378543384049,435.0609665440988,0.9817919732948942,7001.102316856384,449239.55882167816,27.729453086853027,7.026754379272461,1.191048548278868,28.058412551879883,60.27423858642578,18.66960617828369,34.714439287665414,34.526132583618164,14.279942512512207,14.279942512512207,2.3539713429202394,9.161871214462412,41.73649978637695,367.1001164134337,288.0899919716911,0.0,365.96437678695617,288.44872884630246,0,388.0,293.0,0.0,1,0.012968384,0.044006135,0.075236544,0.105399534,0.13158596,0.15052786,0.16585153,0.16934693,0.14507708,1.4102844860748744,1.4201580975251054,1.3790879831055687,1.311514779681766,1.2154559969136216,1.1099607390386068,1.0001326625800409,0.8614459917324134,0.6636417413419439,0.0360756448774594,0.0343573192996862,0.05383063897860903,0.061291509924020354,0.05791532474355559,0.08123298337947521,0.07906570821086806,0.07985232084333446,0.08243047703463637
3,1,nan,0,A12,1,RR,0,FK223_run_RR_PLATE_1_ID_A12_C_BRA_mask.tif,FK223_run_RR_PLATE_1_ID_A12_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A12_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brachyury\96h,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\96h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\96h,12007,16492,428,343,295,219,361.6183892729241,283.38960606312986,1.2134410097632078,12458,0.33202937369773705,123.643791650188,1,0.7280499636187242,0.8241026897509761,128.09961639598862,132.9661611087573,56.36488268416781,19.650193133800425,17.46424919657298,120.15534047975675,120.83240307711716,-56.73985436588212,427.88939366884495,0.9637983624979932,6843.738730430603,369867.37742710114,24.82807207107544,6.1614274978637695,2.4667664999707317,26.462404251098633,50.32737731933594,18.647789456214177,30.80431227010087,30.6318941116333,14.620831489562988,14.620831489562988,2.685883562735682,7.641495027342245,37.123939514160156,362.66036135402027,285.6255021133956,0.0,361.6183892729241,283.38960606312986,0,376.0,271.0,0.0,1,0.01294559,0.0426972,0.07376922,0.10366755,0.12641251,0.1476546,0.16327496,0.17253377,0.15704471,1.328527302911045,1.3671073724230034,1.3775225741380237,1.3088709467044601,1.2008188433850842,1.0923528638579396,0.9881262245302586,0.8718909602612247,0.7051742025828658,0.032023138823898185,0.047718627141204374,0.031605026586419546,0.03914951946815633,0.045078672039655265,0.08278782201890314,0.10903809569649751,0.12492182622623942,0.1331028619910882
4,1,nan,0,A1,1,RR,0,FK223_run_RR_PLATE_1_ID_A1_C_BRA_mask.tif,FK223_run_RR_PLATE_1_ID_A1_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A1_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brachyury\96h,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\96h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\96h,12956,16375,395,354,264,229,328.5297159617166,290.03843778944116,1.1176643298197602,13168,0.3208133148447624,128.43711123187398,1,0.791206106870229,0.8947230159535151,132.10977178661454,135.19245541079576,61.26989472816156,21.215105070935486,18.788294228055936,124.0,125.1267726696816,69.27357569046795,426.5756851698602,0.9839003645200486,6836.632907867432,404998.9752674103,26.733577728271484,4.364971160888672,1.3326777018115872,29.75741958618164,44.347900390625,18.52746045492529,31.2595689462342,32.818241119384766,15.591388702392578,15.591388702392578,2.6302885034023658,6.405784197133685,36.51020050048828,328.7250351949823,291.35672465276883,0.0,328.5297159617166,290.03843778944116,0,345.0,318.0,0.0,1,0.013137811,0.040592585,0.06862963,0.096526295,0.12580322,0.15322608,0.1734119,0.17617449,0.15249798,1.2245573924331532,1.225914984003639,1.2064660584991258,1.177584441929435,1.1650510959492293,1.1350469187097985,1.0538108119597789,0.9104574047620418,0.7051262634724563,0.019851382919535133,0.02780317116603159,0.03105440640833075,0.04037571533080203,0.035338391035369766,0.05148993625215346,0.06478822142870859,0.08712733722522548,0.11488080658681027
5,1,nan,0,A2,1,RR,0,FK223_run_RR_PLATE_1_ID_A2_C_BRA_mask.tif,FK223_run_RR_PLATE_1_ID_A2_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A2_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brachyury\96h,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\96h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\96h,10449,14514,493,315,375,192,433.7974925830223,254.94937314575557,1.18801698591238,10742,0.4617829316007905,115.34331364642563,1,0.7199255890863994,0.8417388066484709,122.9094211723099,126.53062870309307,52.08646657242167,18.40436072517299,16.278820596099706,107.32708779047769,109.01979219769864,-39.41304977269317,394.9604614807104,0.9727238875442189,5835.08465385437,299477.4509086609,23.64965534210205,4.994595527648926,1.1715613312600932,21.940105438232422,44.95044708251953,17.575556186308344,28.66087194072743,28.72583770751953,15.19565200805664,15.19565200805664,1.1576831194889623,6.429528876204552,33.6155948638916,433.2189102282576,255.96809705911917,0.0,433.7974925830223,254.94937314575557,0,441.0,255.0,0.0,1,0.013957253,0.042499606,0.07226448,0.09886668,0.124159016,0.147212,0.16866456,0.17674817,0.1556282,1.429797389544514,1.383421740068165,1.3270501345395989,1.2506754558271813,1.1761899865886758,1.0917091372801597,1.010536688379942,0.8862004047349057,0.7098031895278264,0.02910446521077707,0.04403591007315038,0.03083124310146157,0.05488179459511931,0.04758759443772319,0.05466433308018963,0.05003967745810535,0.06430612681249276,0.06788473021467988
6,1,nan,0,A3,1,RR,0,FK223_run_RR_PLATE_1_ID_A3_C_BRA_mask.tif,FK223_run_RR_PLATE_1_ID_A3_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A3_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brachyury\96h,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\96h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\96h,11795,16254,366,346,240,217,300.79169139465876,283.954217888936,1.1756884823366904,12069,0.1597983523590255,122.54738034797498,1,0.7256675279931094,0.8505654474155363,123.68842316816017,128.47178678604885,56.64803615307419,19.853912560579623,17.4928556845359,119.17322192066938,122.09898709073819,58.60215742515096,417.445742854949,0.9772972077222637,6235.343841552734,346934.39027786255,23.87871742248535,5.695528030395508,3.853409353305946,24.62793731689453,46.98408508300781,17.714045004411176,29.413682940047693,29.491829872131348,15.116812705993652,15.116812705993652,1.482784618652718,6.784145022996415,35.262207984924316,299.34424121451065,287.52544339569624,0.0,300.79169139465876,283.954217888936,0,290.0,307.0,0.0,1,0.011500879,0.038685944,0.068616375,0.09867292,0.123342454,0.14618269,0.16974044,0.18295607,0.16030219,1.1304405838018035,1.2007913386056999,1.2337349801574125,1.2251021887518823,1.151879849598128,1.0871530784596994,1.0325366021924056,0.9321671024640734,0.7311540426598524,0.027962943365806812,0.05494477739617142,0.077153253368041,0.10098398192348566,0.1231250235249244,0.14167753043707723,0.1631057435176694,0.1718895906044598,0.11327067435018916
7,1,nan,0,A4,1,RR,0,FK223_run_RR_PLATE_1_ID_A4_C_BRA_mask.tif,FK223_run_RR_PLATE_1_ID_A4_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A4_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brachyury\96h,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\96h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\96h,11790,15252,436,334,312,211,374.028074639525,273.59457167090756,1.1358906944185145,11966,0.4104703827533796,122.52140316053995,1,0.7730133752950433,0.8803663987333924,128.44331085090536,131.7269904006009,57.697486947006624,20.21093053666468,17.88854381999832,115.82832123448911,117.12410669491848,-57.39516041322311,410.2325394193526,0.9852916597024904,6754.02680015564,380427.0928878784,26.104439735412598,6.086711883544922,2.800440127908486,27.573223114013672,52.69384002685547,19.242241595885012,32.2669289981237,32.04433059692383,15.506332397460938,15.506332397460938,2.500913818324344,7.94930878338596,38.33420372009277,371.2297041346805,273.7022165854013,0.0,374.028074639525,273.59457167090756,0,375.0,255.0,0.0,1,0.013841139,0.043684952,0.076199956,0.10513643,0.1274178,0.14711052,0.16397263,0.17058572,0.15205087,1.3267238260950702,1.3240246365569768,1.3369010179303533,1.2818599073168129,1.1782399177551246,1.0935895661688373,0.9954878067104737,0.8767243501354315,0.7052241266359964,0.04858434933132792,0.07094152894555006,0.09201088038925156,0.0785029933954335,0.08769223707633168,0.11717892108829044,0.1270409465278595,0.12178451419264594,0.11172394825868154
8,1,nan,0,A5,1,RR,0,FK223_run_RR_PLATE_1_ID_A5_C_BRA_mask.tif,FK223_run_RR_PLATE_1_ID_A5_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A5_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brachyury\96h,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\96h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\96h,4556,7326,365,318,291,219,328.00417032484637,268.02172958735736,1.3513327290737842,4874,0.7156120382787863,76.16350415923235,1,0.6218946218946219,0.740010197699725,92.09279528258078,98.41239759298622,30.01666203960727,11.204340470151902,10.0,64.7869521684013,64.326630330815,7.39863603639487,278.14927829866735,0.9347558473533032,3966.280563354492,98827.40323066711,19.323057174682617,2.356149673461914,0.16551540449829855,19.08294105529785,29.600448608398438,17.022663362036447,21.691703957565213,21.473114013671875,15.551436424255371,15.267831802368164,0.6102181834571411,2.998242257741553,24.088464736938477,328.0482701504051,268.1812618866322,0.0,328.00417032484637,268.02172958735736,0,315.0,272.0,0.0,1,0.0086427685,0.028136,0.0538706,0.08461315,0.113929816,0.14208338,0.17641893,0.20043916,0.19186625,1.1250415208083917,1.1653419651768315,1.1687354871914444,1.1646450749876962,1.1308589103045261,1.0824947558517821,1.0252100081772209,0.9346988645278312,0.8309340586907049,0.056141163159025134,0.05141402017070609,0.06160592645761317,0.05266661125360669,0.04607401409785838,0.05428197803054157,0.04626361944189906,0.02593165228814495,0.017474904587175724
9,1,nan,0,A6,1,RR,0,FK223_run_RR_PLATE_1_ID_A6_C_BRA_mask.tif,FK223_run_RR_PLATE_1_ID_A6_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A6_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brachyury\96h,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\96h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\96h,12710,17000,441,358,316,222,376.91117230527146,290.6255704169945,1.1585965326284529,12990,0.4505247648016458,127.21192795325413,1,0.7476470588235294,0.8631132338462533,134.98029367849674,136.06616037795732,58.137767414994535,20.609555159351885,18.24828759089466,120.49899126777669,120.505537577272,-15.290252756531457,430.17366491630685,0.9784449576597383,6424.46789932251,401583.91093826294,24.65995693206787,6.831096649169922,1.519515961770137,23.05535888671875,52.711944580078125,17.796309970422463,31.595901726063175,32.05677032470703,14.896267890930176,14.896267890930176,1.3057564949332492,8.200694155488378,38.38345527648926,378.42872598400703,290.5483720346904,0.0,376.91117230527146,290.6255704169945,0,392.0,278.0,0.0,1,0.012717966,0.04323972,0.076888956,0.10591457,0.13247213,0.15211107,0.16393664,0.16688542,0.14583354,1.2931627818941778,1.3773855721965371,1.374484715058493,1.314623232101436,1.229890973529646,1.128623280184906,0.9988661338990382,0.850827796567743,0.6643527795871093,0.038159277641270695,0.023112997276891714,0.03934925815105681,0.06224100832922265,0.056119458149212396,0.04418551200508262,0.0707417406403296,0.08745145952167192,0.07311028104739362
10,1,nan,0,A7,1,RR,0,FK223_run_RR_PLATE_1_ID_A7_C_BRA_mask.tif,FK223_run_RR_PLATE_1_ID_A7_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A7_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brachyury\96h,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\96h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\96h,8623,11615,399,328,284,227,343.0814101820712,275.27948509799376,1.1593148477248074,8858,0.5106811251102896,104.78141340071392,1,0.7424020662935858,0.8625784461939153,113.31462798133326,116.49892703368559,47.16990566028302,16.807180268557246,14.866068747318506,100.0,97.42453981205789,88.29424079211972,354.43354954612926,0.9734703093249041,5144.460642814636,252427.0577802658,23.142011165618896,5.6361494064331055,0.15873578699314264,19.235027313232422,48.769012451171875,17.091231371477196,29.273693352692312,28.76718807220459,15.259045600891113,15.259045600891113,0.6830119020276216,7.802136670874005,34.41127586364746,342.92329490570785,275.29350684727405,0.0,343.0814101820712,275.27948509799376,0,351.0,284.0,0.0,1,0.015680397,0.047087435,0.08037785,0.10559237,0.12671825,0.14562199,0.16346149,0.16958056,0.1458796,1.5722332874659186,1.5380111713611382,1.4530360048297009,1.3311739865450793,1.1955049176510864,1.076928283322735,0.9843075704661982,0.8511601877382516,0.6683951967992634,0.01263275369274118,0.027931095734232442,0.030872126001330154,0.021882050056960704,0.03610015323715855,0.0378946421823662,0.030080089889938422,0.05020357150242966,0.028071324096928137
